Double_Up,Double_Up_1chng,Single_Up,Num_D,Num_N,Num_S
0.14141286216370694,0.10207282164865557,0.039293587400678294,1,1,1
0.1482561176601811,0.09475152978754446,0.03521132121382374,1,1,1
0.14682404231022533,0.10224231392146357,0.042352985583941044,1,1,1
0.14798890053737618,0.0932372346975213,0.040208728394255405,1,1,1
0.14150990555067489,0.095659671857946,0.036046186935077905,1,1,1
0.1342745827604251,0.09343474476645669,0.03857065084753923,1,1,1
0.13178269194110515,0.091447441779773,0.03712878756971412,1,1,1
0.1453971430277857,0.10356701000642966,0.03361199778727839,1,1,1
0.13638304985502525,0.0970229049918007,0.044278859648971755,1,1,1
0.14254601689602725,0.09343926641811814,0.03460416908691654,1,1,1
0.12499893992310698,0.09856344064246758,0.045692564181346845,1,1,1
0.14919144853325492,0.09239689031883866,0.030458744971285923,1,1,1
0.13728272210804607,0.09897475472369363,0.03977728346547788,1,1,1
0.1402105382521977,0.10421187016379159,0.04173558952788662,1,1,1
0.13984396305852864,0.09269203784941565,0.0388403805093359,1,1,1
0.13336438267755488,0.0953766126755562,0.0399754076972646,1,1,1
0.13667836786240983,0.08410818315906514,0.039625571625137614,1,1,1
0.14292764932002733,0.09417676574562861,0.035678624253338315,1,1,1
0.14247152572421046,0.09522287500250652,0.03009082397516652,1,1,1
0.13400071036330247,0.08659058964024188,0.04219652696627463,1,1,1
0.1415043964624776,0.0948470627539259,0.03595913509573321,1,1,1
0.1377147622455216,0.09176147598486956,0.03863310712218662,1,1,1
0.13898212730490908,0.09816869712269777,0.039162029413445584,1,1,1
0.14163094403997448,0.09913406379708425,0.03184288256944732,1,1,1
0.12857698879407642,0.10214848853038386,0.03631120952418061,1,1,1
0.14121203108716757,0.09334061258591311,0.04061208798821497,1,1,1
0.14281276694313177,0.10287452457649254,0.04160768156903728,1,1,1
0.13860524160939366,0.08997152857480753,0.04096145404490492,1,1,1
0.1339166437383774,0.0842586431110251,0.03671083194868559,1,1,1
0.14579711575287227,0.09636575326107204,0.032744194572013254,1,1,1
